帧号,车辆ID,速度(m/s),距离(m),角度(deg)
159,251,14.769445456517836,76.88055954433898,-6.535160106411569
159,252,13.525941841191528,37.7491592129546,-13.402670424355563
159,253,-12.15584215191542,143.0283859054157,0.7010504622229404
159,254,-11.327397313217302,146.8337899513957,3.4163475846588502
159,255,-14.400097775699953,133.4008244860627,2.2554624090765687
160,248,14.539720213731785,116.25262390167323,-4.316570439779942
160,249,13.885199342312362,106.33060976465786,-0.9430223478292206
160,250,12.841283547440751,99.54336156558799,-3.023229922470638
160,251,14.771553932525146,78.35744045903135,-6.411463669591557
160,252,13.582173477429523,39.10543430417498,-12.929623690114779
160,253,-12.097172145472477,141.818664504172,0.7070307654375245
160,254,-11.333667080967233,145.7004003595314,3.4429549377808226
160,255,-14.304425163781728,131.97035034896786,2.2799230205931185
161,248,14.506130744857405,117.70316354068207,-4.263275267434535
161,249,13.801176443165723,107.71069648834083,-0.9309384235176392
161,250,12.890784131040066,100.83238192735755,-2.9845463538371746
161,251,14.750623336769936,79.83225536934404,-6.292535697465452
161,252,13.67767278463507,40.47142938750066,-12.486049786391424
161,253,-12.188318791290687,140.59982077143314,0.7131602492984732
